,key,start,finish,called_from,time
0,_dask_helper-a069e8f9-9aa7-49c5-843d-144631f2bd73,released,waiting,tcp://10.201.3.137:36485,1713553300.4571984
1,_dask_helper-ac120fa4-68ab-46d7-aa69-27c24c9330ba,released,waiting,tcp://10.201.3.137:34103,1713553300.4572628
2,_dask_helper-3239c7c4-b03f-44d6-9284-4ae264a4a455,released,waiting,tcp://10.201.3.137:37277,1713553300.4572067
3,_dask_helper-a7112667-f478-40cc-81b4-35fb273ffa48,released,waiting,tcp://10.201.3.137:35227,1713553300.457281
4,_dask_helper-a069e8f9-9aa7-49c5-843d-144631f2bd73,waiting,ready,tcp://10.201.3.137:36485,1713553300.4579945
5,_dask_helper-ac120fa4-68ab-46d7-aa69-27c24c9330ba,waiting,ready,tcp://10.201.3.137:34103,1713553300.4580245
6,_dask_helper-a7112667-f478-40cc-81b4-35fb273ffa48,waiting,ready,tcp://10.201.3.137:35227,1713553300.458045
7,_dask_helper-3239c7c4-b03f-44d6-9284-4ae264a4a455,waiting,ready,tcp://10.201.3.137:37277,1713553300.4580226
8,_dask_helper-a069e8f9-9aa7-49c5-843d-144631f2bd73,ready,executing,tcp://10.201.3.137:36485,1713553300.4604182
9,_dask_helper-3239c7c4-b03f-44d6-9284-4ae264a4a455,ready,executing,tcp://10.201.3.137:37277,1713553300.46044
10,_dask_helper-ac120fa4-68ab-46d7-aa69-27c24c9330ba,ready,executing,tcp://10.201.3.137:34103,1713553300.46044
11,_dask_helper-a7112667-f478-40cc-81b4-35fb273ffa48,ready,executing,tcp://10.201.3.137:35227,1713553300.4604452
12,_dask_helper-3239c7c4-b03f-44d6-9284-4ae264a4a455,executing,memory,tcp://10.201.3.137:37277,1713553303.7096558
13,_dask_helper-a069e8f9-9aa7-49c5-843d-144631f2bd73,executing,memory,tcp://10.201.3.137:36485,1713553303.7198436
14,_dask_helper-ac120fa4-68ab-46d7-aa69-27c24c9330ba,executing,memory,tcp://10.201.3.137:34103,1713553303.726507
15,_dask_helper-a7112667-f478-40cc-81b4-35fb273ffa48,executing,memory,tcp://10.201.3.137:35227,1713553303.7555223
16,list-442b451e-ab89-429d-a627-d93e43fda587,released,waiting,tcp://10.201.3.137:34103,1713553303.7587419
17,_dask_helper-3239c7c4-b03f-44d6-9284-4ae264a4a455,released,fetch,tcp://10.201.3.137:34103,1713553303.7592177
18,_dask_helper-a069e8f9-9aa7-49c5-843d-144631f2bd73,released,fetch,tcp://10.201.3.137:34103,1713553303.7598083
