,key,start,finish,called_from,time
0,_dask_helper-dfd3df77-a2ca-4e08-8602-7f3405a446eb,released,waiting,tcp://10.201.3.228:33249,1713553309.4948852
1,_dask_helper-9a7f4657-f548-444d-b6bc-1ac89b8278df,released,waiting,tcp://10.201.3.228:38435,1713553309.49491
2,_dask_helper-a222da80-ddc1-4865-af9b-fa1a03a0fb43,released,waiting,tcp://10.201.3.228:35537,1713553309.4948442
3,_dask_helper-9ded3613-ca5a-4484-b32b-85dbf98b8222,released,waiting,tcp://10.201.3.228:36429,1713553309.4948823
4,_dask_helper-dfd3df77-a2ca-4e08-8602-7f3405a446eb,waiting,ready,tcp://10.201.3.228:33249,1713553309.4957123
5,_dask_helper-9a7f4657-f548-444d-b6bc-1ac89b8278df,waiting,ready,tcp://10.201.3.228:38435,1713553309.495725
6,_dask_helper-9ded3613-ca5a-4484-b32b-85dbf98b8222,waiting,ready,tcp://10.201.3.228:36429,1713553309.4957452
7,_dask_helper-a222da80-ddc1-4865-af9b-fa1a03a0fb43,waiting,ready,tcp://10.201.3.228:35537,1713553309.495738
8,_dask_helper-dfd3df77-a2ca-4e08-8602-7f3405a446eb,ready,executing,tcp://10.201.3.228:33249,1713553309.4980443
9,_dask_helper-9a7f4657-f548-444d-b6bc-1ac89b8278df,ready,executing,tcp://10.201.3.228:38435,1713553309.4980788
10,_dask_helper-9ded3613-ca5a-4484-b32b-85dbf98b8222,ready,executing,tcp://10.201.3.228:36429,1713553309.4980977
11,_dask_helper-a222da80-ddc1-4865-af9b-fa1a03a0fb43,ready,executing,tcp://10.201.3.228:35537,1713553309.4981036
12,_dask_helper-9a7f4657-f548-444d-b6bc-1ac89b8278df,executing,memory,tcp://10.201.3.228:38435,1713553312.734255
13,_dask_helper-dfd3df77-a2ca-4e08-8602-7f3405a446eb,executing,memory,tcp://10.201.3.228:33249,1713553312.741457
14,_dask_helper-9ded3613-ca5a-4484-b32b-85dbf98b8222,executing,memory,tcp://10.201.3.228:36429,1713553312.7697968
15,_dask_helper-a222da80-ddc1-4865-af9b-fa1a03a0fb43,executing,memory,tcp://10.201.3.228:35537,1713553313.0160222
16,list-c5aca40b-ab8c-422c-a3c1-1151625662a8,released,waiting,tcp://10.201.3.228:36429,1713553313.0190775
