,key,thread,worker,prefix,group,start,finish,stimulus_id,called_from,begins,ends,duration,size,time
0,_dask_helper-dfd3df77-a2ca-4e08-8602-7f3405a446eb,,,dask_helper,dask_helper,released,waiting,update-graph-1713553302.4034684,tcp://10.201.3.238:8786,,,,,1713553306.847741
1,_dask_helper-dfd3df77-a2ca-4e08-8602-7f3405a446eb,,,dask_helper,dask_helper,waiting,processing,update-graph-1713553302.4034684,tcp://10.201.3.238:8786,,,,,1713553306.848759
2,_dask_helper-a222da80-ddc1-4865-af9b-fa1a03a0fb43,,,dask_helper,dask_helper,released,waiting,update-graph-1713553302.4034684,tcp://10.201.3.238:8786,,,,,1713553306.8492892
3,_dask_helper-a222da80-ddc1-4865-af9b-fa1a03a0fb43,,,dask_helper,dask_helper,waiting,processing,update-graph-1713553302.4034684,tcp://10.201.3.238:8786,,,,,1713553306.850156
4,_dask_helper-9ded3613-ca5a-4484-b32b-85dbf98b8222,,,dask_helper,dask_helper,released,waiting,update-graph-1713553302.4034684,tcp://10.201.3.238:8786,,,,,1713553306.8508785
5,_dask_helper-9ded3613-ca5a-4484-b32b-85dbf98b8222,,,dask_helper,dask_helper,waiting,processing,update-graph-1713553302.4034684,tcp://10.201.3.238:8786,,,,,1713553306.851699
6,_dask_helper-9a7f4657-f548-444d-b6bc-1ac89b8278df,,,dask_helper,dask_helper,released,waiting,update-graph-1713553302.4034684,tcp://10.201.3.238:8786,,,,,1713553306.8524184
7,_dask_helper-9a7f4657-f548-444d-b6bc-1ac89b8278df,,,dask_helper,dask_helper,waiting,processing,update-graph-1713553302.4034684,tcp://10.201.3.238:8786,,,,,1713553306.8534544
8,list-c5aca40b-ab8c-422c-a3c1-1151625662a8,,,list,list,released,waiting,update-graph-1713553302.4034684,tcp://10.201.3.238:8786,,,,,1713553306.8539443
9,_dask_helper-9a7f4657-f548-444d-b6bc-1ac89b8278df,22511001296896,tcp://10.201.3.228:38435,dask_helper,dask_helper,processing,memory,task-finished-1713553312.7340055,tcp://10.201.3.238:8786,1713553311.4228745,1713553314.6560326,3.2331581115722656,50208,1713553312.7354312
