,key,start,finish,called_from,time
0,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 127, 0, 0, 0)",released,waiting,tcp://10.201.3.17:42149,1713455864.1537042
1,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 127, 0, 0, 0)",waiting,ready,tcp://10.201.3.17:42149,1713455864.1546104
2,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 127, 0, 0, 0)",ready,executing,tcp://10.201.3.17:42149,1713455864.155044
3,"('array-8838909ee9756e34565341881e2e6f0c', 126)",released,waiting,tcp://10.201.3.17:41721,1713455864.1551483
4,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 125, 0, 0, 0)",released,waiting,tcp://10.201.3.17:41867,1713455864.1550624
5,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 125, 0, 0, 0)",waiting,ready,tcp://10.201.3.17:41867,1713455864.1556706
6,"('array-8838909ee9756e34565341881e2e6f0c', 126)",waiting,ready,tcp://10.201.3.17:41721,1713455864.1556582
7,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 123, 0, 0, 0)",released,waiting,tcp://10.201.3.17:42149,1713455864.1558175
8,"('array-8838909ee9756e34565341881e2e6f0c', 125)",released,waiting,tcp://10.201.3.17:37383,1713455864.1557722
9,"('array-8838909ee9756e34565341881e2e6f0c', 126)",ready,executing,tcp://10.201.3.17:41721,1713455864.1570652
10,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 125, 0, 0, 0)",ready,executing,tcp://10.201.3.17:41867,1713455864.1570756
11,"('array-8838909ee9756e34565341881e2e6f0c', 125)",waiting,ready,tcp://10.201.3.17:37383,1713455864.1571236
12,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 123, 0, 0, 0)",waiting,ready,tcp://10.201.3.17:42149,1713455864.1570928
13,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 123, 0, 0, 0)",ready,executing,tcp://10.201.3.17:42149,1713455864.1589453
14,"('array-8838909ee9756e34565341881e2e6f0c', 125)",ready,executing,tcp://10.201.3.17:37383,1713455864.158973
15,"('array-8838909ee9756e34565341881e2e6f0c', 122)",released,waiting,tcp://10.201.3.17:41721,1713455864.1590452
16,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 121, 0, 0, 0)",released,waiting,tcp://10.201.3.17:41867,1713455864.1590712
17,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 119, 0, 0, 0)",released,waiting,tcp://10.201.3.17:42149,1713455864.1608875
18,"('array-8838909ee9756e34565341881e2e6f0c', 122)",waiting,ready,tcp://10.201.3.17:41721,1713455864.161708
19,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 121, 0, 0, 0)",waiting,ready,tcp://10.201.3.17:41867,1713455864.1617475
20,"('array-8838909ee9756e34565341881e2e6f0c', 121)",released,waiting,tcp://10.201.3.17:37383,1713455864.161926
21,"('array-8838909ee9756e34565341881e2e6f0c', 122)",ready,executing,tcp://10.201.3.17:41721,1713455864.1626582
22,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 121, 0, 0, 0)",ready,executing,tcp://10.201.3.17:41867,1713455864.1626706
23,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 119, 0, 0, 0)",waiting,ready,tcp://10.201.3.17:42149,1713455864.1626983
24,"('array-8838909ee9756e34565341881e2e6f0c', 121)",waiting,ready,tcp://10.201.3.17:37383,1713455864.1627254
