,key,start,finish,called_from,time
0,_dask_helper-9731f80c-b769-4e38-8691-8aeeaa22a0bc,released,waiting,tcp://10.201.1.183:43427,1713553288.7674477
1,_dask_helper-9731f80c-b769-4e38-8691-8aeeaa22a0bc,waiting,ready,tcp://10.201.1.183:43427,1713553288.767789
2,_dask_helper-9731f80c-b769-4e38-8691-8aeeaa22a0bc,ready,executing,tcp://10.201.1.183:43427,1713553288.7684898
3,_dask_helper-936f2254-27a9-499a-837e-021236ce898f,released,waiting,tcp://10.201.1.183:43427,1713553288.7692556
4,_dask_helper-936f2254-27a9-499a-837e-021236ce898f,waiting,ready,tcp://10.201.1.183:43427,1713553288.76975
5,_dask_helper-936f2254-27a9-499a-837e-021236ce898f,ready,executing,tcp://10.201.1.183:43427,1713553288.7703233
6,_dask_helper-69422a00-d2ee-48a4-8fa6-0c7d79d710f1,released,waiting,tcp://10.201.1.183:43427,1713553288.770993
7,_dask_helper-69422a00-d2ee-48a4-8fa6-0c7d79d710f1,waiting,ready,tcp://10.201.1.183:43427,1713553288.7715216
8,_dask_helper-69422a00-d2ee-48a4-8fa6-0c7d79d710f1,ready,executing,tcp://10.201.1.183:43427,1713553288.7720976
9,_dask_helper-1174db58-6c19-42a2-a924-cab7f4014ae3,released,waiting,tcp://10.201.1.183:43427,1713553288.7727718
10,_dask_helper-1174db58-6c19-42a2-a924-cab7f4014ae3,waiting,ready,tcp://10.201.1.183:43427,1713553288.7732856
11,_dask_helper-1174db58-6c19-42a2-a924-cab7f4014ae3,ready,executing,tcp://10.201.1.183:43427,1713553288.7738495
12,_dask_helper-9731f80c-b769-4e38-8691-8aeeaa22a0bc,executing,memory,tcp://10.201.1.183:43427,1713553301.9356687
13,_dask_helper-69422a00-d2ee-48a4-8fa6-0c7d79d710f1,executing,memory,tcp://10.201.1.183:43427,1713553301.9399674
14,_dask_helper-1174db58-6c19-42a2-a924-cab7f4014ae3,executing,memory,tcp://10.201.1.183:43427,1713553301.9602897
15,_dask_helper-936f2254-27a9-499a-837e-021236ce898f,executing,memory,tcp://10.201.1.183:43427,1713553302.0872536
16,list-e1f6b2d1-859d-455f-b2be-83d2c9d87d8e,released,waiting,tcp://10.201.1.183:43427,1713553302.0902064
17,list-e1f6b2d1-859d-455f-b2be-83d2c9d87d8e,waiting,ready,tcp://10.201.1.183:43427,1713553302.090778
18,list-e1f6b2d1-859d-455f-b2be-83d2c9d87d8e,ready,executing,tcp://10.201.1.183:43427,1713553302.0913868
19,list-e1f6b2d1-859d-455f-b2be-83d2c9d87d8e,executing,memory,tcp://10.201.1.183:43427,1713553302.0928707
20,_dask_helper-9731f80c-b769-4e38-8691-8aeeaa22a0bc,memory,released,tcp://10.201.1.183:43427,1713553302.098904
21,_dask_helper-936f2254-27a9-499a-837e-021236ce898f,memory,released,tcp://10.201.1.183:43427,1713553302.099575
22,_dask_helper-1174db58-6c19-42a2-a924-cab7f4014ae3,memory,released,tcp://10.201.1.183:43427,1713553302.1001437
23,_dask_helper-69422a00-d2ee-48a4-8fa6-0c7d79d710f1,memory,released,tcp://10.201.1.183:43427,1713553302.1006873
24,list-e1f6b2d1-859d-455f-b2be-83d2c9d87d8e,memory,released,tcp://10.201.1.183:43427,1713553302.117103
25,list-e1f6b2d1-859d-455f-b2be-83d2c9d87d8e,released,forgotten,tcp://10.201.1.183:43427,1713553302.1183002
26,_dask_helper-9731f80c-b769-4e38-8691-8aeeaa22a0bc,released,forgotten,tcp://10.201.1.183:43427,1713553302.118945
27,_dask_helper-936f2254-27a9-499a-837e-021236ce898f,released,forgotten,tcp://10.201.1.183:43427,1713553302.1195612
28,_dask_helper-1174db58-6c19-42a2-a924-cab7f4014ae3,released,forgotten,tcp://10.201.1.183:43427,1713553302.1201463
29,_dask_helper-69422a00-d2ee-48a4-8fa6-0c7d79d710f1,released,forgotten,tcp://10.201.1.183:43427,1713553302.1207285
30,_dask_helper-0a4d0fcc-9966-4ca9-825b-2a7243830d83,released,waiting,tcp://10.201.1.183:39371,1713553302.77173
31,_dask_helper-0a4d0fcc-9966-4ca9-825b-2a7243830d83,waiting,ready,tcp://10.201.1.183:39371,1713553302.7720914
32,_dask_helper-0a4d0fcc-9966-4ca9-825b-2a7243830d83,ready,executing,tcp://10.201.1.183:39371,1713553302.773035
33,_dask_helper-0a4d0fcc-9966-4ca9-825b-2a7243830d83,executing,memory,tcp://10.201.1.183:39371,1713553315.5968564
34,list-6c56340c-a115-446d-bfc9-6d9b35f8b47a,released,waiting,tcp://10.201.1.183:39371,1713553315.6001246
35,list-6c56340c-a115-446d-bfc9-6d9b35f8b47a,waiting,ready,tcp://10.201.1.183:39371,1713553315.600747
36,list-6c56340c-a115-446d-bfc9-6d9b35f8b47a,ready,executing,tcp://10.201.1.183:39371,1713553315.6013427
37,list-6c56340c-a115-446d-bfc9-6d9b35f8b47a,executing,memory,tcp://10.201.1.183:39371,1713553315.6026843
38,_dask_helper-0a4d0fcc-9966-4ca9-825b-2a7243830d83,memory,released,tcp://10.201.1.183:39371,1713553315.605142
39,list-6c56340c-a115-446d-bfc9-6d9b35f8b47a,memory,released,tcp://10.201.1.183:39371,1713553315.6548834
40,list-6c56340c-a115-446d-bfc9-6d9b35f8b47a,released,forgotten,tcp://10.201.1.183:39371,1713553315.6559987
41,_dask_helper-0a4d0fcc-9966-4ca9-825b-2a7243830d83,released,forgotten,tcp://10.201.1.183:39371,1713553315.6569314
42,_dask_helper-1d1e89f8-5015-42ec-b535-fe660fbbdea3,released,waiting,tcp://10.201.1.183:45569,1713553316.3532617
43,_dask_helper-1d1e89f8-5015-42ec-b535-fe660fbbdea3,waiting,ready,tcp://10.201.1.183:45569,1713553316.3536413
44,_dask_helper-1d1e89f8-5015-42ec-b535-fe660fbbdea3,ready,executing,tcp://10.201.1.183:45569,1713553316.3546283
45,_dask_helper-1d1e89f8-5015-42ec-b535-fe660fbbdea3,executing,memory,tcp://10.201.1.183:45569,1713553329.0570683
46,list-9913b68e-dd38-48c9-a71c-ace39023d32f,released,waiting,tcp://10.201.1.183:45569,1713553329.0604413
47,list-9913b68e-dd38-48c9-a71c-ace39023d32f,waiting,ready,tcp://10.201.1.183:45569,1713553329.0610034
48,list-9913b68e-dd38-48c9-a71c-ace39023d32f,ready,executing,tcp://10.201.1.183:45569,1713553329.0616062
49,list-9913b68e-dd38-48c9-a71c-ace39023d32f,executing,memory,tcp://10.201.1.183:45569,1713553329.0630302
50,_dask_helper-1d1e89f8-5015-42ec-b535-fe660fbbdea3,memory,released,tcp://10.201.1.183:45569,1713553329.0658982
51,list-9913b68e-dd38-48c9-a71c-ace39023d32f,memory,released,tcp://10.201.1.183:45569,1713553329.0764055
52,list-9913b68e-dd38-48c9-a71c-ace39023d32f,released,forgotten,tcp://10.201.1.183:45569,1713553329.0775995
53,_dask_helper-1d1e89f8-5015-42ec-b535-fe660fbbdea3,released,forgotten,tcp://10.201.1.183:45569,1713553329.078559
