,start,stop,middle,duration,who,keys,total,compressed,bandwidth,type,called_from,time
0,1713553302.0977385,1713553302.102997,1713553302.104882,0.0052585601806640625,,{'list-e1f6b2d1-859d-455f-b2be-83d2c9d87d8e': 200992},200992,200317,38221869.3130214,outgoing_transfer,tcp://10.201.1.183:43427,1713553302.1176736
1,1713553315.6058202,1713553315.6259654,1713553315.6173697,0.020145177841186523,,{'list-6c56340c-a115-446d-bfc9-6d9b35f8b47a': 4961288},4961288,5584655,246276703.9890171,outgoing_transfer,tcp://10.201.1.183:39371,1713553315.655078
2,1713553329.065981,1713553329.068803,1713553329.0690188,0.0028221607208251953,,{'list-9913b68e-dd38-48c9-a71c-ace39023d32f': 80328},80328,92520,28463297.432795472,outgoing_transfer,tcp://10.201.1.183:45569,1713553329.0769796
