,key,start,finish,called_from,time
0,_dask_helper-c6477294-b511-46e9-8cb5-1c4a7d30f6ab,released,waiting,tcp://10.201.3.254:37823,1713553309.5179548
1,_dask_helper-3dbc9aac-0ac5-4d23-8eeb-29e497db35b1,released,waiting,tcp://10.201.3.254:39001,1713553309.517961
2,_dask_helper-a1e52252-3cb0-45f2-9592-81d92772f6f3,released,waiting,tcp://10.201.3.254:38357,1713553309.5180497
3,_dask_helper-6490452a-bd80-4f96-9d45-cdda24fb8908,released,waiting,tcp://10.201.3.254:38761,1713553309.5180597
4,_dask_helper-c6477294-b511-46e9-8cb5-1c4a7d30f6ab,waiting,ready,tcp://10.201.3.254:37823,1713553309.5187817
5,_dask_helper-3dbc9aac-0ac5-4d23-8eeb-29e497db35b1,waiting,ready,tcp://10.201.3.254:39001,1713553309.51879
6,_dask_helper-a1e52252-3cb0-45f2-9592-81d92772f6f3,waiting,ready,tcp://10.201.3.254:38357,1713553309.5188158
7,_dask_helper-6490452a-bd80-4f96-9d45-cdda24fb8908,waiting,ready,tcp://10.201.3.254:38761,1713553309.5188391
8,_dask_helper-3dbc9aac-0ac5-4d23-8eeb-29e497db35b1,ready,executing,tcp://10.201.3.254:39001,1713553309.5216768
9,_dask_helper-c6477294-b511-46e9-8cb5-1c4a7d30f6ab,ready,executing,tcp://10.201.3.254:37823,1713553309.5216694
10,_dask_helper-a1e52252-3cb0-45f2-9592-81d92772f6f3,ready,executing,tcp://10.201.3.254:38357,1713553309.5216944
11,_dask_helper-6490452a-bd80-4f96-9d45-cdda24fb8908,ready,executing,tcp://10.201.3.254:38761,1713553309.5217247
12,_dask_helper-c6477294-b511-46e9-8cb5-1c4a7d30f6ab,executing,memory,tcp://10.201.3.254:37823,1713553312.7764485
13,_dask_helper-6490452a-bd80-4f96-9d45-cdda24fb8908,executing,memory,tcp://10.201.3.254:38761,1713553312.778786
14,_dask_helper-a1e52252-3cb0-45f2-9592-81d92772f6f3,executing,memory,tcp://10.201.3.254:38357,1713553312.7815342
15,_dask_helper-3dbc9aac-0ac5-4d23-8eeb-29e497db35b1,executing,memory,tcp://10.201.3.254:39001,1713553312.8743799
16,list-d760c6bf-208d-4f30-a50f-70add98624c4,released,waiting,tcp://10.201.3.254:39001,1713553312.8774529
17,_dask_helper-c6477294-b511-46e9-8cb5-1c4a7d30f6ab,released,fetch,tcp://10.201.3.254:39001,1713553312.8780012
18,_dask_helper-6490452a-bd80-4f96-9d45-cdda24fb8908,released,fetch,tcp://10.201.3.254:39001,1713553312.8785877
19,_dask_helper-a1e52252-3cb0-45f2-9592-81d92772f6f3,released,fetch,tcp://10.201.3.254:39001,1713553312.8791692
20,_dask_helper-c6477294-b511-46e9-8cb5-1c4a7d30f6ab,fetch,flight,tcp://10.201.3.254:39001,1713553312.8798287
21,_dask_helper-6490452a-bd80-4f96-9d45-cdda24fb8908,fetch,flight,tcp://10.201.3.254:39001,1713553312.880322
22,_dask_helper-a1e52252-3cb0-45f2-9592-81d92772f6f3,fetch,flight,tcp://10.201.3.254:39001,1713553312.8809047
23,_dask_helper-6490452a-bd80-4f96-9d45-cdda24fb8908,flight,memory,tcp://10.201.3.254:39001,1713553312.8898046
24,_dask_helper-a1e52252-3cb0-45f2-9592-81d92772f6f3,flight,memory,tcp://10.201.3.254:39001,1713553312.8914099
25,_dask_helper-c6477294-b511-46e9-8cb5-1c4a7d30f6ab,flight,memory,tcp://10.201.3.254:39001,1713553312.893798
26,list-d760c6bf-208d-4f30-a50f-70add98624c4,waiting,ready,tcp://10.201.3.254:39001,1713553312.8953898
27,list-d760c6bf-208d-4f30-a50f-70add98624c4,ready,executing,tcp://10.201.3.254:39001,1713553312.8962398
28,list-d760c6bf-208d-4f30-a50f-70add98624c4,executing,memory,tcp://10.201.3.254:39001,1713553312.8978822
29,_dask_helper-c6477294-b511-46e9-8cb5-1c4a7d30f6ab,memory,released,tcp://10.201.3.254:39001,1713553312.9062393
30,_dask_helper-c6477294-b511-46e9-8cb5-1c4a7d30f6ab,memory,released,tcp://10.201.3.254:37823,1713553312.9061997
31,_dask_helper-6490452a-bd80-4f96-9d45-cdda24fb8908,memory,released,tcp://10.201.3.254:38761,1713553312.9062955
32,_dask_helper-a1e52252-3cb0-45f2-9592-81d92772f6f3,memory,released,tcp://10.201.3.254:38357,1713553312.9063268
33,_dask_helper-6490452a-bd80-4f96-9d45-cdda24fb8908,memory,released,tcp://10.201.3.254:39001,1713553312.9067824
