,worker,action,stimulus_id,time
0,tcp://10.201.1.19:37167,add,,1713546936.478449
1,tcp://10.201.1.19:45585,add,,1713546938.3651636
2,tcp://10.201.1.19:40711,add,,1713546938.3685882
3,tcp://10.201.1.19:44073,add,,1713546938.3697722
4,tcp://10.201.4.43:45145,add,,1713546938.3711658
5,tcp://10.201.4.43:46281,add,,1713546938.372329
6,tcp://10.201.4.43:42679,add,,1713546938.3734398
7,tcp://10.201.4.43:38453,add,,1713546938.3745856
