,worker,action,stimulus_id,time
0,tcp://10.201.1.37:45787,add,,1713546936.3291252
1,tcp://10.201.1.40:37425,add,,1713546938.243335
2,tcp://10.201.1.40:40657,add,,1713546938.2465115
3,tcp://10.201.1.37:45175,add,,1713546938.2479713
4,tcp://10.201.1.37:32949,add,,1713546938.2490423
5,tcp://10.201.1.40:34603,add,,1713546938.2501788
6,tcp://10.201.1.40:39905,add,,1713546938.2515984
7,tcp://10.201.1.37:39887,add,,1713546938.2527056
