,worker,action,stimulus_id,time
0,tcp://10.201.0.117:45251,add,,1713455671.0787776
1,tcp://10.201.0.117:42565,add,,1713455671.0803847
2,tcp://10.201.0.117:44405,add,,1713455671.0814402
3,tcp://10.201.0.117:39657,add,,1713455671.0825949
4,tcp://10.201.0.115:32795,add,,1713455671.229861
5,tcp://10.201.0.115:46605,add,,1713455671.2309504
6,tcp://10.201.0.115:38891,add,,1713455671.2320647
7,tcp://10.201.0.115:37941,add,,1713455671.2331774
