,client,keys,dependencies,time
0,Client-3fa97407-fe7f-11ee-89c0-6805cae1d902,{'list-388c9e91-973b-440a-8d7e-0e5fd4b86351'},"{'list-388c9e91-973b-440a-8d7e-0e5fd4b86351': {'_dask_helper-15c001f2-b969-4f02-b293-8f9ee31a0cc0', '_dask_helper-491ba0f1-f9f4-41f2-a98a-7f550dc4d712', '_dask_helper-4ff1e6f8-6470-4864-bc17-8c6c0121d1aa', '_dask_helper-2de19b80-de5d-4fce-84aa-3c84851d96b3'}, '_dask_helper-2de19b80-de5d-4fce-84aa-3c84851d96b3': set(), '_dask_helper-491ba0f1-f9f4-41f2-a98a-7f550dc4d712': set(), '_dask_helper-4ff1e6f8-6470-4864-bc17-8c6c0121d1aa': set(), '_dask_helper-15c001f2-b969-4f02-b293-8f9ee31a0cc0': set()}",1713553306.9003456
1,Client-3fa97407-fe7f-11ee-89c0-6805cae1d902,{'list-49420bcc-6d44-4766-a0b4-9e74cc72b521'},"{'list-49420bcc-6d44-4766-a0b4-9e74cc72b521': {'_dask_helper-0ca64737-8e1a-4af8-8950-0807478dff93'}, '_dask_helper-0ca64737-8e1a-4af8-8950-0807478dff93': set()}",1713553313.091823
2,Client-3fa97407-fe7f-11ee-89c0-6805cae1d902,{'list-845fc5ff-dc20-4c84-a401-641e55efbe06'},"{'list-845fc5ff-dc20-4c84-a401-641e55efbe06': {'_dask_helper-38ed5276-9372-4f76-b33f-a369e65ccd21'}, '_dask_helper-38ed5276-9372-4f76-b33f-a369e65ccd21': set()}",1713553326.7529175
