,start,stop,middle,duration,keys,total,bandwidth,who,type,called_from,time,compressed
0,1713547329.139598,1713547458.7384744,1713547393.9390361,129.59887647628784,"{('read_parquet-fused-assign-7890931581d3cf17ea8ebf6f1eb878bf', 62): 303431570}",303431570,2341313.275624867,tcp://10.201.3.41:35923,incoming_transfer,tcp://10.201.3.29:45165,1713547458.7403972,
1,1713547267.0439727,1713547459.6072571,1713547363.325615,192.56328439712524,"{('read_parquet-fused-assign-7890931581d3cf17ea8ebf6f1eb878bf', 16): 732876514}",732876514,3805899.532169285,tcp://10.201.3.41:42623,incoming_transfer,tcp://10.201.3.29:46315,1713547459.6097953,
2,1713547354.033513,1713547457.3438098,1713547407.7712789,103.31029677391052,"{('read_parquet-fused-assign-7890931581d3cf17ea8ebf6f1eb878bf', 62): 303431570}",303431570,2937089.3267690926,tcp://10.201.3.29:45165,outgoing_transfer,tcp://10.201.3.41:35923,1713547459.7889886,303416043.0
3,1713547329.139598,1713547458.7384744,1713547393.9390361,129.59887647628784,"{('read_parquet-fused-assign-7890931581d3cf17ea8ebf6f1eb878bf', 62): 303431570}",303431570,2341313.275624867,tcp://10.201.3.41:35923,incoming_transfer,tcp://10.201.3.29:45165,1713547468.2985804,
4,1713547329.1391344,1713547468.295861,1713547398.7174978,139.15672659873962,"{('read_parquet-fused-assign-7890931581d3cf17ea8ebf6f1eb878bf', 68): 332795940}",332795940,2391518.887618144,tcp://10.201.3.41:42369,incoming_transfer,tcp://10.201.3.29:45165,1713547468.298583,
5,1713547267.0439727,1713547459.6072571,1713547363.325615,192.56328439712524,"{('read_parquet-fused-assign-7890931581d3cf17ea8ebf6f1eb878bf', 16): 732876514}",732876514,3805899.532169285,tcp://10.201.3.41:42623,incoming_transfer,tcp://10.201.3.29:46315,1713547468.342609,
6,1713547468.3353975,1713547468.342322,1713547468.3388598,0.006924629211425781,"{('getitem-_get_categories-a1087153b268d56092bea8800b9ec43a', 65): 16987, ('getitem-_get_categories-a1087153b268d56092bea8800b9ec43a', 68): 16979}",33966,4905100.181242253,tcp://10.201.3.29:45165,incoming_transfer,tcp://10.201.3.29:46315,1713547468.342612,
7,1713547468.3353975,1713547468.342322,1713547468.3388598,0.006924629211425781,"{('getitem-_get_categories-a1087153b268d56092bea8800b9ec43a', 65): 16987, ('getitem-_get_categories-a1087153b268d56092bea8800b9ec43a', 68): 16979}",33966,4905100.181242253,tcp://10.201.3.29:45165,incoming_transfer,tcp://10.201.3.29:46315,1713547468.4337378,
8,1713547468.3354883,1713547468.4334915,1713547468.3844898,0.09800314903259277,"{('getitem-_get_categories-a1087153b268d56092bea8800b9ec43a', 66): 17039}",17039,173861.76024133022,tcp://10.201.3.29:36351,incoming_transfer,tcp://10.201.3.29:46315,1713547468.4337404,
9,1713547468.2474642,1713547468.3420484,1713547468.3952684,0.09458422660827637,"{('getitem-_get_categories-a1087153b268d56092bea8800b9ec43a', 66): 17039}",17039,180146.31626230417,tcp://10.201.3.29:46315,outgoing_transfer,tcp://10.201.3.29:36351,1713547468.4536674,3743.0
