,key,start,finish,called_from,time
0,_dask_helper-1d661a28-62ef-45f9-8dfd-63dd7a602e55,released,waiting,tcp://10.201.4.19:41961,1713553309.5834742
1,_dask_helper-1d7ce447-fc9e-495f-84b3-58093a2a93ae,released,waiting,tcp://10.201.4.19:40351,1713553309.5835073
2,_dask_helper-1e415119-cdbe-4f81-b224-6ee05523d475,released,waiting,tcp://10.201.4.19:36321,1713553309.5834851
3,_dask_helper-6faf6e68-69ea-45a8-a03c-a0403fe808d3,released,waiting,tcp://10.201.4.19:35707,1713553309.583477
4,_dask_helper-1d661a28-62ef-45f9-8dfd-63dd7a602e55,waiting,ready,tcp://10.201.4.19:41961,1713553309.5842807
5,_dask_helper-1d7ce447-fc9e-495f-84b3-58093a2a93ae,waiting,ready,tcp://10.201.4.19:40351,1713553309.584308
6,_dask_helper-1e415119-cdbe-4f81-b224-6ee05523d475,waiting,ready,tcp://10.201.4.19:36321,1713553309.5843055
7,_dask_helper-6faf6e68-69ea-45a8-a03c-a0403fe808d3,waiting,ready,tcp://10.201.4.19:35707,1713553309.5843132
8,_dask_helper-1d661a28-62ef-45f9-8dfd-63dd7a602e55,ready,executing,tcp://10.201.4.19:41961,1713553309.5867896
9,_dask_helper-1e415119-cdbe-4f81-b224-6ee05523d475,ready,executing,tcp://10.201.4.19:36321,1713553309.5868487
10,_dask_helper-6faf6e68-69ea-45a8-a03c-a0403fe808d3,ready,executing,tcp://10.201.4.19:35707,1713553309.5868573
11,_dask_helper-1d7ce447-fc9e-495f-84b3-58093a2a93ae,ready,executing,tcp://10.201.4.19:40351,1713553309.5868306
12,_dask_helper-1d661a28-62ef-45f9-8dfd-63dd7a602e55,executing,memory,tcp://10.201.4.19:41961,1713553312.8214464
13,_dask_helper-1d7ce447-fc9e-495f-84b3-58093a2a93ae,executing,memory,tcp://10.201.4.19:40351,1713553312.9701633
14,_dask_helper-1e415119-cdbe-4f81-b224-6ee05523d475,executing,memory,tcp://10.201.4.19:36321,1713553312.9760883
15,_dask_helper-6faf6e68-69ea-45a8-a03c-a0403fe808d3,executing,memory,tcp://10.201.4.19:35707,1713553313.0007083
16,list-184a066f-f677-4347-96ee-98764a61e892,released,waiting,tcp://10.201.4.19:41961,1713553313.0038266
17,_dask_helper-6faf6e68-69ea-45a8-a03c-a0403fe808d3,released,fetch,tcp://10.201.4.19:41961,1713553313.004248
18,_dask_helper-1e415119-cdbe-4f81-b224-6ee05523d475,released,fetch,tcp://10.201.4.19:41961,1713553313.0048451
19,_dask_helper-1d7ce447-fc9e-495f-84b3-58093a2a93ae,released,fetch,tcp://10.201.4.19:41961,1713553313.0054085
20,_dask_helper-6faf6e68-69ea-45a8-a03c-a0403fe808d3,fetch,flight,tcp://10.201.4.19:41961,1713553313.00608
21,_dask_helper-1e415119-cdbe-4f81-b224-6ee05523d475,fetch,flight,tcp://10.201.4.19:41961,1713553313.0065932
22,_dask_helper-1d7ce447-fc9e-495f-84b3-58093a2a93ae,fetch,flight,tcp://10.201.4.19:41961,1713553313.0071654
23,_dask_helper-1e415119-cdbe-4f81-b224-6ee05523d475,flight,memory,tcp://10.201.4.19:41961,1713553313.015915
