,key,thread,worker,prefix,group,start,finish,stimulus_id,called_from,begins,ends,duration,size,time
0,_dask_helper-9cc0ab9e-75fd-40da-90f8-92706d6e0a9f,,,dask_helper,dask_helper,released,waiting,update-graph-1713553296.5658073,tcp://10.201.1.129:8786,,,,,1713553298.7105289
1,_dask_helper-9cc0ab9e-75fd-40da-90f8-92706d6e0a9f,,,dask_helper,dask_helper,waiting,processing,update-graph-1713553296.5658073,tcp://10.201.1.129:8786,,,,,1713553298.7114615
2,_dask_helper-9417f84f-f598-4120-b995-eb8272d07c56,,,dask_helper,dask_helper,released,waiting,update-graph-1713553296.5658073,tcp://10.201.1.129:8786,,,,,1713553298.7120116
3,_dask_helper-9417f84f-f598-4120-b995-eb8272d07c56,,,dask_helper,dask_helper,waiting,processing,update-graph-1713553296.5658073,tcp://10.201.1.129:8786,,,,,1713553298.7128649
4,_dask_helper-4c73b320-a6ff-4d5b-bdc5-8956a11a2419,,,dask_helper,dask_helper,released,waiting,update-graph-1713553296.5658073,tcp://10.201.1.129:8786,,,,,1713553298.7135928
5,_dask_helper-4c73b320-a6ff-4d5b-bdc5-8956a11a2419,,,dask_helper,dask_helper,waiting,processing,update-graph-1713553296.5658073,tcp://10.201.1.129:8786,,,,,1713553298.7144308
6,_dask_helper-191790f6-67cc-4318-98c5-df523aa88fa2,,,dask_helper,dask_helper,released,waiting,update-graph-1713553296.5658073,tcp://10.201.1.129:8786,,,,,1713553298.7151535
7,_dask_helper-191790f6-67cc-4318-98c5-df523aa88fa2,,,dask_helper,dask_helper,waiting,processing,update-graph-1713553296.5658073,tcp://10.201.1.129:8786,,,,,1713553298.715972
8,list-8606d556-c6f4-465b-933b-4f2338e69364,,,list,list,released,waiting,update-graph-1713553296.5658073,tcp://10.201.1.129:8786,,,,,1713553298.716723
9,_dask_helper-9cc0ab9e-75fd-40da-90f8-92706d6e0a9f,22515807322112,tcp://10.201.1.175:33783,dask_helper,dask_helper,processing,memory,task-finished-1713553304.326439,tcp://10.201.1.129:8786,1713553301.8126411,1713553305.1029773,3.2903361320495605,50248,1713553304.32799
10,_dask_helper-9417f84f-f598-4120-b995-eb8272d07c56,22664368287744,tcp://10.201.1.175:34267,dask_helper,dask_helper,processing,memory,task-finished-1713553304.3385358,tcp://10.201.1.129:8786,1713553301.8126104,1713553305.1151276,3.3025171756744385,50208,1713553304.339954
11,_dask_helper-4c73b320-a6ff-4d5b-bdc5-8956a11a2419,23143054336000,tcp://10.201.1.175:36351,dask_helper,dask_helper,processing,memory,task-finished-1713553304.349396,tcp://10.201.1.129:8786,1713553301.814752,1713553305.1280084,3.31325626373291,50208,1713553304.3509178
12,_dask_helper-191790f6-67cc-4318-98c5-df523aa88fa2,22842134343680,tcp://10.201.1.175:39657,dask_helper,dask_helper,processing,memory,task-finished-1713553304.3749654,tcp://10.201.1.129:8786,1713553301.8114243,1713553305.150303,3.338878631591797,50208,1713553304.376263
13,list-8606d556-c6f4-465b-933b-4f2338e69364,,,list,list,waiting,processing,task-finished-1713553304.3749654,tcp://10.201.1.129:8786,,,,,1713553304.3765545
14,list-8606d556-c6f4-465b-933b-4f2338e69364,22515807322112,tcp://10.201.1.175:33783,list,list,processing,memory,task-finished-1713553304.3998587,tcp://10.201.1.129:8786,1713553304.3746524,1713553304.3839946,0.009342193603515625,200992,1713553304.4030735
15,_dask_helper-9cc0ab9e-75fd-40da-90f8-92706d6e0a9f,,,dask_helper,dask_helper,memory,released,task-finished-1713553304.3998587,tcp://10.201.1.129:8786,,,,,1713553304.4033136
16,_dask_helper-4c73b320-a6ff-4d5b-bdc5-8956a11a2419,,,dask_helper,dask_helper,memory,released,task-finished-1713553304.3998587,tcp://10.201.1.129:8786,,,,,1713553304.4044898
17,_dask_helper-191790f6-67cc-4318-98c5-df523aa88fa2,,,dask_helper,dask_helper,memory,released,task-finished-1713553304.3998587,tcp://10.201.1.129:8786,,,,,1713553304.4055786
18,_dask_helper-9417f84f-f598-4120-b995-eb8272d07c56,,,dask_helper,dask_helper,memory,released,task-finished-1713553304.3998587,tcp://10.201.1.129:8786,,,,,1713553304.4066648
19,list-8606d556-c6f4-465b-933b-4f2338e69364,,,list,list,memory,forgotten,client-releases-keys-1713553304.4422338,tcp://10.201.1.129:8786,,,,,1713553304.4422739
20,_dask_helper-9cc0ab9e-75fd-40da-90f8-92706d6e0a9f,,,dask_helper,dask_helper,released,forgotten,client-releases-keys-1713553304.4422338,tcp://10.201.1.129:8786,,,,,1713553304.442449
