,start,stop,middle,duration,keys,total,bandwidth,who,type,called_from,time,compressed
0,1713553304.3746524,1713553304.3839946,1713553304.3793235,0.009342193603515625,{'_dask_helper-9417f84f-f598-4120-b995-eb8272d07c56': 50208},50208,5374326.644344631,tcp://10.201.1.175:34267,incoming_transfer,tcp://10.201.1.175:33783,1713553304.3920639,
1,1713553304.3746524,1713553304.3839946,1713553304.3793235,0.009342193603515625,{'_dask_helper-9417f84f-f598-4120-b995-eb8272d07c56': 50208},50208,5374326.644344631,tcp://10.201.1.175:34267,incoming_transfer,tcp://10.201.1.175:33783,1713553304.3936346,
2,1713553304.3747718,1713553304.3855345,1713553304.3801532,0.010762691497802734,{'_dask_helper-191790f6-67cc-4318-98c5-df523aa88fa2': 50208},50208,4665004.103318417,tcp://10.201.1.175:39657,incoming_transfer,tcp://10.201.1.175:33783,1713553304.3936372,
3,1713553304.3747718,1713553304.3855345,1713553304.3801532,0.010762691497802734,{'_dask_helper-191790f6-67cc-4318-98c5-df523aa88fa2': 50208},50208,4665004.103318417,tcp://10.201.1.175:39657,incoming_transfer,tcp://10.201.1.175:33783,1713553304.3960485,
4,1713553304.3748143,1713553304.3879864,1713553304.3814003,0.013172149658203125,{'_dask_helper-4c73b320-a6ff-4d5b-bdc5-8956a11a2419': 50208},50208,3811678.5264986968,tcp://10.201.1.175:36351,incoming_transfer,tcp://10.201.1.175:33783,1713553304.3960514,
5,1713553304.3781216,1713553304.3890116,1713553304.3903098,0.010890007019042969,{'_dask_helper-4c73b320-a6ff-4d5b-bdc5-8956a11a2419': 50208},50208,4610465.34792889,tcp://10.201.1.175:33783,outgoing_transfer,tcp://10.201.1.175:36351,1713553304.4088523,50254.0
6,1713553304.3775554,1713553304.3861325,1713553304.3890357,0.008577108383178711,{'_dask_helper-191790f6-67cc-4318-98c5-df523aa88fa2': 50208},50208,5853721.0627380125,tcp://10.201.1.175:33783,outgoing_transfer,tcp://10.201.1.175:39657,1713553304.4088743,50254.0
7,1713553304.3804095,1713553304.387543,1713553304.3882098,0.00713348388671875,{'_dask_helper-9417f84f-f598-4120-b995-eb8272d07c56': 50208},50208,7038356.124064171,tcp://10.201.1.175:33783,outgoing_transfer,tcp://10.201.1.175:34267,1713553304.4088728,50254.0
8,1713553304.4242277,1713553304.4285383,1713553304.4340456,0.00431060791015625,{'list-8606d556-c6f4-465b-933b-4f2338e69364': 200992},200992,46627298.09557522,,outgoing_transfer,tcp://10.201.1.175:33783,1713553304.4482188,200317.0
9,1713553318.0022762,1713553318.0217698,1713553318.0123918,0.019493579864501953,{'list-a7bf8a51-e4f9-47b4-9407-0c54aeecdfb1': 4961288},4961288,254508819.54394463,,outgoing_transfer,tcp://10.201.1.175:40951,1713553318.0498908,5584655.0
10,1713553331.6031365,1713553331.6054866,1713553331.6068501,0.0023500919342041016,{'list-2bd60362-7f72-4e17-b049-98418a85c3ce': 80328},80328,34180790.474992394,,outgoing_transfer,tcp://10.201.1.175:44001,1713553331.6157007,92520.0
