,key,start,finish,called_from,time
24706,"('getitem-476e35866f2b6b4185984b14d501a17e', 0, 0)",executing,memory,tcp://10.201.3.17:45521,1713455800.1932292
24707,"('getitem-c1d0054a37302258c349d371ffa86e31', 0, 0)",ready,executing,tcp://10.201.3.17:45521,1713455800.1964748
24708,"('getitem-e07cc890f7646137cd93e72edff02bcf', 0, 0)",executing,memory,tcp://10.201.3.17:45521,1713455800.2007833
24709,"('getitem-661671e46685ae2a41f44fb49598a963', 0, 0)",ready,executing,tcp://10.201.3.17:45521,1713455800.2041087
24710,"('getitem-f392c073fc6edb89af1be07b542f3aa6', 0, 0)",executing,memory,tcp://10.201.3.17:45521,1713455800.2084644
24711,"('mul-getitem-778ed1876c5a12b57e3337943bf6ee09', 0, 0, 0)",memory,released,tcp://10.201.3.17:42345,1713455800.2103019
24712,"('getitem-e451d5060709597e92ca8b97c27b0ece', 0, 0)",ready,executing,tcp://10.201.3.17:45521,1713455800.2117615
24713,"('getitem-9a4fe747de632f0084c0c346019c0c4a', 0, 0)",released,waiting,tcp://10.201.3.17:42345,1713455800.2119083
24714,"('getitem-9a4fe747de632f0084c0c346019c0c4a', 0, 0)",waiting,ready,tcp://10.201.3.17:42345,1713455800.2137895
24715,"('getitem-19b209f480a57f81a5b0bfad48922d34', 0, 0)",executing,memory,tcp://10.201.3.17:45521,1713455800.2141054
24716,"('getitem-9a4fe747de632f0084c0c346019c0c4a', 0, 0)",ready,executing,tcp://10.201.3.17:42345,1713455800.2184165
24717,"('getitem-e47d63bbac1cf8974a7d5575c1f1e67b', 0, 0)",ready,executing,tcp://10.201.3.17:45521,1713455800.2184706
24718,"('getitem-9e3110d1fd631077a9cfc893383b2351', 0, 0)",released,waiting,tcp://10.201.3.17:42345,1713455800.223243
24719,"('getitem-f6205435ecb68fbe5c5462cfc3257e02', 0, 0)",executing,memory,tcp://10.201.3.17:45521,1713455800.223491
24720,"('getitem-9e3110d1fd631077a9cfc893383b2351', 0, 0)",waiting,ready,tcp://10.201.3.17:42345,1713455800.2279181
24721,"('getitem-14a01b9f0d6618c9785e37b6f004be32', 0, 0)",ready,executing,tcp://10.201.3.17:45521,1713455800.227932
