,start,stop,middle,duration,who,keys,total,compressed,bandwidth,type,called_from,time
0,1713547428.0778387,1713547435.6347778,1713547431.8609126,7.556939125061035,tcp://10.201.1.247:43851,"{('getitem-_get_categories-d4035673e0c478ab59f447a93e396c99', 57): 17077}",17077,3781.0,2259.7773671839755,outgoing_transfer,tcp://10.201.1.247:42985,1713547435.9958417
1,1713547283.432295,1713547445.3005548,1713547364.3664248,161.86825966835022,tcp://10.201.1.247:42985,"{('read_parquet-fused-assign-84b4e5aa9a17434bad6bf34e348d02b7', 71): 256935274}",256935274,,1587311.0301329696,incoming_transfer,tcp://10.201.2.222:34721,1713547445.9866943
2,1713547428.0778387,1713547435.6347778,1713547431.8609126,7.556939125061035,tcp://10.201.1.247:43851,"{('getitem-_get_categories-d4035673e0c478ab59f447a93e396c99', 57): 17077}",17077,3781.0,2259.7773671839755,outgoing_transfer,tcp://10.201.1.247:42985,1713547447.2999551
3,1713547305.4843774,1713547445.595274,1713547375.5396314,140.11089658737183,tcp://10.201.2.222:34721,"{('read_parquet-fused-assign-84b4e5aa9a17434bad6bf34e348d02b7', 71): 256935274}",256935274,256922344.0,1833799.370770407,outgoing_transfer,tcp://10.201.1.247:42985,1713547447.299958
4,1713547410.8246236,1713547433.6844363,1713547422.25453,22.85981273651123,tcp://10.201.1.247:42985,"{('getitem-_get_categories-d4035673e0c478ab59f447a93e396c99', 57): 17077}",17077,,747.031491326478,incoming_transfer,tcp://10.201.1.247:43851,1713547449.920382
5,1713547410.8246236,1713547433.6844363,1713547422.25453,22.85981273651123,tcp://10.201.1.247:42985,"{('getitem-_get_categories-d4035673e0c478ab59f447a93e396c99', 57): 17077}",17077,,747.031491326478,incoming_transfer,tcp://10.201.1.247:43851,1713547450.9845479
6,1713547410.8322163,1713547450.018634,1713547430.425425,39.18641781806946,tcp://10.201.2.222:34721,"{('getitem-_get_categories-d4035673e0c478ab59f447a93e396c99', 62): 17088}",17088,,436.0694585387813,incoming_transfer,tcp://10.201.1.247:43851,1713547450.9845545
7,1713547410.8322163,1713547450.018634,1713547430.425425,39.18641781806946,tcp://10.201.2.222:34721,"{('getitem-_get_categories-d4035673e0c478ab59f447a93e396c99', 62): 17088}",17088,,436.0694585387813,incoming_transfer,tcp://10.201.1.247:43851,1713547451.4065437
8,1713547410.832127,1713547451.0340936,1713547430.9331102,40.201966524124146,tcp://10.201.1.247:35395,"{('getitem-_get_categories-d4035673e0c478ab59f447a93e396c99', 59): 17039}",17039,,423.8349880167017,incoming_transfer,tcp://10.201.1.247:43851,1713547451.4065478
9,1713547410.83206,1713547451.0658324,1713547430.9489462,40.23377227783203,tcp://10.201.1.247:37459,"{('getitem-_get_categories-d4035673e0c478ab59f447a93e396c99', 58): 17047}",17047,,423.6987743103706,incoming_transfer,tcp://10.201.1.247:43851,1713547451.4065545
10,1713547410.8322952,1713547451.087219,1713547430.959757,40.254923820495605,tcp://10.201.2.222:39599,"{('getitem-_get_categories-d4035673e0c478ab59f447a93e396c99', 61): 17135}",17135,,425.6622140538195,incoming_transfer,tcp://10.201.1.247:43851,1713547451.4065602
11,1713547410.832256,1713547451.1188598,1713547430.9755578,40.286603689193726,tcp://10.201.2.222:41473,"{('getitem-_get_categories-d4035673e0c478ab59f447a93e396c99', 60): 17056}",17056,,423.3665396960483,incoming_transfer,tcp://10.201.1.247:43851,1713547451.4065647
12,1713547255.4038439,1713547448.0227678,1713547351.713306,192.6189239025116,tcp://10.201.1.247:42985,"{('read_parquet-fused-assign-84b4e5aa9a17434bad6bf34e348d02b7', 71): 256935274}",256935274,,1333904.627823797,incoming_transfer,tcp://10.201.2.222:41473,1713547451.7652743
13,1713547437.99965,1713547448.02302,1713547446.5628004,10.023370027542114,tcp://10.201.1.247:43851,"{('getitem-_get_categories-d4035673e0c478ab59f447a93e396c99', 60): 17056}",17056,3760.0,1701.6233016573963,outgoing_transfer,tcp://10.201.2.222:41473,1713547451.7661598
14,1713547438.6725922,1713547451.8417459,1713547445.266633,13.169153690338135,tcp://10.201.1.247:43851,"{('getitem-_get_categories-d4035673e0c478ab59f447a93e396c99', 61): 17135}",17135,3838.0,1301.1466342420701,outgoing_transfer,tcp://10.201.2.222:39599,1713547452.0619736
15,1713547305.4843774,1713547445.595274,1713547375.5396314,140.11089658737183,tcp://10.201.2.222:34721,"{('read_parquet-fused-assign-84b4e5aa9a17434bad6bf34e348d02b7', 71): 256935274}",256935274,256922344.0,1833799.370770407,outgoing_transfer,tcp://10.201.1.247:42985,1713547453.204516
