,worker,action,stimulus_id,time
0,tcp://10.201.3.67:36637,add,,1713546981.0087707
1,tcp://10.201.3.67:43483,add,,1713546982.8619363
2,tcp://10.201.3.67:33399,add,,1713546982.8650324
3,tcp://10.201.3.67:41697,add,,1713546982.8667908
4,tcp://10.201.3.65:35339,add,,1713546982.8681223
5,tcp://10.201.3.65:36037,add,,1713546982.8692455
6,tcp://10.201.3.65:36113,add,,1713546982.870344
7,tcp://10.201.3.65:36499,add,,1713546982.8714497
