,start,stop,middle,duration,who,keys,total,compressed,bandwidth,type,called_from,time
0,1713560327.3209512,1713560371.0169573,1713560349.185503,43.696006059646606,tcp://10.201.1.105:43641,"{('read_parquet-fused-assign-0176fabe3abd506a3ad129cc0fcef799', 56): 137519521}",137519521,137503994.0,3147187.429722546,outgoing_transfer,tcp://10.201.1.105:44701,1713560371.1263907
1,1713560311.3064613,1713560370.4762807,1713560340.891371,59.169819355010986,tcp://10.201.1.105:44701,"{('read_parquet-fused-assign-0176fabe3abd506a3ad129cc0fcef799', 56): 137519521}",137519521,,2324149.7523408225,incoming_transfer,tcp://10.201.1.105:43641,1713560373.8388612
2,1713560311.3064613,1713560370.4762807,1713560340.891371,59.169819355010986,tcp://10.201.1.105:44701,"{('read_parquet-fused-assign-0176fabe3abd506a3ad129cc0fcef799', 56): 137519521}",137519521,,2324149.7523408225,incoming_transfer,tcp://10.201.1.105:43641,1713560443.612841
3,1713560442.713615,1713560443.5651915,1713560443.139403,0.851576566696167,tcp://10.201.1.105:44701,"{('getitem-_get_categories-dba6a7a53c147fd9cb179b3a38cb0ff1', 63): 17106}",17106,,20087.44799820593,incoming_transfer,tcp://10.201.1.105:43641,1713560443.6128447
4,1713560442.713615,1713560443.5651915,1713560443.139403,0.851576566696167,tcp://10.201.1.105:44701,"{('getitem-_get_categories-dba6a7a53c147fd9cb179b3a38cb0ff1', 63): 17106}",17106,,20087.44799820593,incoming_transfer,tcp://10.201.1.105:43641,1713560445.537375
5,1713560442.7245276,1713560445.489251,1713560444.1068892,2.764723300933838,tcp://10.201.2.91:40423,"{('getitem-_get_categories-dba6a7a53c147fd9cb179b3a38cb0ff1', 60): 17056}",17056,,6169.152621616424,incoming_transfer,tcp://10.201.1.105:43641,1713560445.5373788
6,1713560442.7245276,1713560445.489251,1713560444.1068892,2.764723300933838,tcp://10.201.2.91:40423,"{('getitem-_get_categories-dba6a7a53c147fd9cb179b3a38cb0ff1', 60): 17056}",17056,,6169.152621616424,incoming_transfer,tcp://10.201.1.105:43641,1713560445.6784146
7,1713560442.7243187,1713560445.6303596,1713560444.177339,2.906040906906128,tcp://10.201.1.105:36189,"{('getitem-_get_categories-dba6a7a53c147fd9cb179b3a38cb0ff1', 59): 17039}",17039,,5863.303561731453,incoming_transfer,tcp://10.201.1.105:43641,1713560445.6784184
8,1713560446.524158,1713560446.8870275,1713560446.7276297,0.3628695011138916,tcp://10.201.1.105:43641,"{('getitem-_get_categories-dba6a7a53c147fd9cb179b3a38cb0ff1', 61): 17135}",17135,3838.0,47220.83268888984,outgoing_transfer,tcp://10.201.2.91:36323,1713560446.9096875
9,1713560442.7243187,1713560445.6303596,1713560444.177339,2.906040906906128,tcp://10.201.1.105:36189,"{('getitem-_get_categories-dba6a7a53c147fd9cb179b3a38cb0ff1', 59): 17039}",17039,,5863.303561731453,incoming_transfer,tcp://10.201.1.105:43641,1713560446.9448943
10,1713560442.72448,1713560446.8962526,1713560444.8103662,4.171772718429565,tcp://10.201.2.91:36323,"{('getitem-_get_categories-dba6a7a53c147fd9cb179b3a38cb0ff1', 61): 17135}",17135,,4107.366617625888,incoming_transfer,tcp://10.201.1.105:43641,1713560446.9448981
