,worker,action,stimulus_id,time
0,tcp://10.201.3.105:42525,add,,1713546979.053102
1,tcp://10.201.3.105:46621,add,,1713546980.9804165
2,tcp://10.201.3.105:41881,add,,1713546980.9836657
3,tcp://10.201.3.105:40911,add,,1713546980.9854252
4,tcp://10.201.3.107:44927,add,,1713546980.9865792
5,tcp://10.201.3.107:40677,add,,1713546980.9876955
6,tcp://10.201.3.107:44255,add,,1713546980.988807
7,tcp://10.201.3.107:39251,add,,1713546980.9898686
